id,image_path,articleType,gender,baseColour,season,usage,productDisplayName,mapped_color,neckline,dress_length,fabric,pattern,sleeve_length,mapped_usage,color_encoded,neckline_encoded,dress_length_encoded,fabric_encoded,pattern_encoded,sleeve_length_encoded,usage_encoded,season_encoded,gender_encoded
32593,/content/fashion_data/images/32593.jpg,Tops,Women,Yellow,Summer,Casual,ONLY Women Yellow Top,Yellow,Halter,Mini,Crepe,Solid,Sleeveless,Casual,23,4,4,2,7,5,0,2,2
12372,/content/fashion_data/images/12372.jpg,Shirts,Men,Green,Fall,Formal,Reid & Taylor Men Check Green Shirts,Green,Collared,Knee-length,Polyester,Plaid,3/4 Sleeve,Formal,8,1,1,7,5,0,2,0,0
12929,/content/fashion_data/images/12929.jpg,Tshirts,Men,Blue,Fall,Casual,Classic Polo Men Narrow Stripes Blue Tshirts,Blue,Scoop Neck,Mini,Cotton,Striped,Short Sleeve,Casual,2,10,4,1,8,4,0,0,0
23049,/content/fashion_data/images/23049.jpg,Shirts,Women,White,Fall,Casual,Arrow Woman White Shirt,White,Collared,Knee-length,Polyester,Solid,3/4 Sleeve,Casual,22,1,1,7,7,0,0,0,2
49168,/content/fashion_data/images/49168.jpg,Shirts,Men,Navy Blue,Summer,Casual,Spykar Men Navy Blue  Shirt,Navy Blue,V-Neck,Knee-length,Linen,Solid,3/4 Sleeve,Casual,12,14,1,6,7,0,0,2,0
9334,/content/fashion_data/images/9334.jpg,Tops,Women,Black,Fall,Casual,Puma Women Heroes Graphic Black Tops,Black,Halter,Mini,Chiffon,Solid,Bell Sleeve,Casual,1,4,4,0,7,1,0,0,2
33257,/content/fashion_data/images/33257.jpg,Tops,Women,Yellow,Summer,Casual,Gini and Jony Girls Printed Yellow Top,Yellow,Halter,Mini,Chiffon,Abstract,3/4 Sleeve,Casual,23,4,4,0,0,0,0,2,2
5090,/content/fashion_data/images/5090.jpg,Tshirts,Men,Grey,Summer,Casual,Wrangler Men's Worn Across Grey Melange T-shirt,Grey,Crew Neck,Mini,Cotton,Solid,Cap Sleeve,Casual,9,3,4,1,7,2,0,2,0
6590,/content/fashion_data/images/6590.jpg,Tshirts,Men,White,Summer,Sports,Nike Men's Team Poly White T-Shirt,White,Scoop Neck,Mini,Polyester,Solid,Short Sleeve,Sports,22,10,4,7,7,4,4,2,0
5777,/content/fashion_data/images/5777.jpg,Tops,Women,Blue,Summer,Casual,Jealous 21 Women Blue Floral Top,Blue,Square Neck,Mini,Chiffon,Floral,Short Sleeve,Casual,2,11,4,0,2,4,0,2,2
48070,/content/fashion_data/images/48070.jpg,Tshirts,Men,Off White,Summer,Casual,French Connection Men Off White T-shirt,Off White,Crew Neck,Mini,Cotton,Solid,Cap Sleeve,Casual,14,3,4,1,7,2,0,2,0
11075,/content/fashion_data/images/11075.jpg,Sweaters,Men,Blue,Fall,Casual,Scullers Men Stripes Blue Sweaters,Blue,Mock Neck,Knee-length,Wool,Striped,Long Sleeve,Casual,2,7,1,10,8,3,0,0,0
32959,/content/fashion_data/images/32959.jpg,Tshirts,Men,Purple,Summer,Casual,Angry Birds Men Purple T-shirt,Purple,Scoop Neck,Mini,Cotton,Solid,Cap Sleeve,Casual,17,10,4,1,7,2,0,2,0
37601,/content/fashion_data/images/37601.jpg,Tshirts,Men,White,Summer,Casual,Madagascar3 Boys White Printed T-Shirt,White,Scoop Neck,Mini,Cotton,Abstract,Cap Sleeve,Casual,22,10,4,1,0,2,0,2,0
49961,/content/fashion_data/images/49961.jpg,Tshirts,Men,Black,Summer,Casual,Hanes Men Pack of 2 Half Contrast Piping Ringer T-shirts,Black,Crew Neck,Mini,Cotton,Solid,Cap Sleeve,Casual,1,3,4,1,7,2,0,2,0
14762,/content/fashion_data/images/14762.jpg,Shirts,Men,Blue,Fall,Formal,Arrow Men Check Blue Shirts,Blue,V-Neck,Mini,Polyester,Plaid,Short Sleeve,Formal,2,14,4,7,5,4,2,0,0
10491,/content/fashion_data/images/10491.jpg,Tshirts,Women,White,Fall,Casual,Flying Machine Women HS White Tshirts,White,V-Neck,Mini,Cotton,Solid,Short Sleeve,Casual,22,14,4,1,7,4,0,0,2
34592,/content/fashion_data/images/34592.jpg,Dresses,Women,Black,Summer,Casual,Tonga Women Printed Black Dress,Black,One-Shoulder,Maxi,Crepe,Abstract,Short Sleeve,Casual,1,9,2,2,0,4,0,2,2
34682,/content/fashion_data/images/34682.jpg,Tshirts,Men,White,Summer,Casual,Allen Solly Kids Boys Printed White T-shirt,White,Crew Neck,Mini,Cotton,Abstract,Short Sleeve,Casual,22,3,4,1,0,4,0,2,0
27580,/content/fashion_data/images/27580.jpg,Tshirts,Men,Purple,Summer,Casual,Scullers Men Striped Purple T-shirt,Purple,Scoop Neck,Mini,Cotton,Striped,Cap Sleeve,Casual,17,10,4,1,8,2,0,2,0
50702,/content/fashion_data/images/50702.jpg,Tops,Women,Orange,Fall,Casual,Latin Quarters Women Orange Top,Orange,Halter,Mini,Silk,Solid,Short Sleeve,Casual,15,4,4,9,7,4,0,0,2
4901,/content/fashion_data/images/4901.jpg,Tops,Women,Pink,Summer,Casual,Levis Kids Girl's Desiree Pink Kidswear,Pink,Scoop Neck,Mini,Crepe,Solid,Bell Sleeve,Casual,16,10,4,2,7,1,0,2,2
59124,/content/fashion_data/images/59124.jpg,Jackets,Men,Olive,Summer,Casual,Just Natural Men Olive Jacket,Green,Collared,Mini,Polyester,Solid,Long Sleeve,Casual,8,1,4,7,7,3,0,2,0
20115,/content/fashion_data/images/20115.jpg,Kurtas,Women,Brown,Fall,Ethnic,Diva Women Printed Brown Kurta,Brown,Collared,Maxi,Linen,Abstract,Long Sleeve,Festive/Religious,3,1,2,6,0,3,1,0,2
50342,/content/fashion_data/images/50342.jpg,Kurtis,Women,Purple,Summer,Ethnic,Aurelia Women Purple Printed Kurti,Purple,Scoop Neck,Midi,Cotton,Abstract,Long Sleeve,Festive/Religious,17,10,3,1,0,3,1,2,2
19749,/content/fashion_data/images/19749.jpg,Tshirts,Men,Green,Summer,Casual,Levi's Men Solid Green Tshirt,Green,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Casual,8,10,4,1,7,4,0,2,0
3617,/content/fashion_data/images/3617.jpg,Tshirts,Men,Red,Summer,Sports,Puma Men's Deccan Chargers Red T-shirt,Red,V-Neck,Mini,Cotton,Solid,Short Sleeve,Sports,18,14,4,1,7,4,4,2,0
9683,/content/fashion_data/images/9683.jpg,Tshirts,Men,Black,Fall,Casual,ADIDAS Men Real A Jsy Black T-Shirts,Black,Crew Neck,Mini,Cotton,Solid,Short Sleeve,Casual,1,3,4,1,7,4,0,0,0
20787,/content/fashion_data/images/20787.jpg,Sweaters,Men,Black,Fall,Casual,Genesis Men Solid Black Sweater,Black,Cowl Neck,Mini,Polyester,Solid,Long Sleeve,Casual,1,2,4,7,7,3,0,0,0
10572,/content/fashion_data/images/10572.jpg,Sweaters,Men,Red,Fall,Casual,Puma Men Knitted Red Sweaters,Red,Cowl Neck,Mini,Wool,Solid,Long Sleeve,Casual,18,2,4,10,7,3,0,0,0
46018,/content/fashion_data/images/46018.jpg,Kurtas,Women,Green,Summer,Ethnic,Fabindia Women Green Kurta,Green,Keyhole,Maxi,Linen,Solid,3/4 Sleeve,Festive/Religious,8,6,2,6,7,0,1,2,2
12539,/content/fashion_data/images/12539.jpg,Tshirts,Women,Black,Fall,Casual,Tantra Women Black Printed T-shirt,Black,Crew Neck,Mini,Polyester,Abstract,Cap Sleeve,Casual,1,3,4,7,0,2,0,0,2
33044,/content/fashion_data/images/33044.jpg,Kurtas,Women,Blue,Summer,Ethnic,Mother Earth Women Printed Blue Kurta,Blue,High Neck,Maxi,Linen,Abstract,Short Sleeve,Festive/Religious,2,5,2,6,0,4,1,2,2
14312,/content/fashion_data/images/14312.jpg,Tshirts,Men,Green,Fall,Sports,ADIDAS Men Solid Green Jerseys,Green,Crew Neck,Mini,Cotton,Solid,Cap Sleeve,Sports,8,3,4,1,7,2,4,0,0
49647,/content/fashion_data/images/49647.jpg,Dresses,Women,Blue,Summer,Casual,Mineral Blue & Green Printed Dress,Blue,One-Shoulder,Knee-length,Lace,Abstract,Cap Sleeve,Casual,2,9,1,4,0,2,0,2,2
19964,/content/fashion_data/images/19964.jpg,Sweaters,Men,Grey,Fall,Casual,United Colors of Benetton Men Stripes Grey Sweater,Grey,Cowl Neck,Knee-length,Polyester,Striped,Long Sleeve,Casual,9,2,1,7,8,3,0,0,0
26796,/content/fashion_data/images/26796.jpg,Shirts,Men,Blue,Summer,Formal,Arrow Men Blue Striped Shirt,Blue,Collared,Mini,Cotton,Striped,Long Sleeve,Formal,2,1,4,1,8,3,2,2,0
1859,/content/fashion_data/images/1859.jpg,Tshirts,Men,Red,Summer,Casual,Inkfruit Men Eye Opener T-shirt,Red,Scoop Neck,Mini,Cotton,Solid,Cap Sleeve,Casual,18,10,4,1,7,2,0,2,0
43067,/content/fashion_data/images/43067.jpg,Tshirts,Men,Peach,Summer,Casual,Nike Men Peach & White Striped T-shirt,Nude,Crew Neck,Mini,Cotton,Striped,Cap Sleeve,Casual,13,3,4,1,8,2,0,2,0
6768,/content/fashion_data/images/6768.jpg,Shirts,Men,Green,Summer,Casual,Timberland Men Claremont Stripe Green Shirt,Green,V-Neck,Knee-length,Linen,Striped,Short Sleeve,Casual,8,14,1,6,8,4,0,2,0
43696,/content/fashion_data/images/43696.jpg,Tshirts,Men,Yellow,Summer,Casual,Doodle Boys Printed Yellow T-shirt,Yellow,Crew Neck,Mini,Cotton,Abstract,Cap Sleeve,Casual,23,3,4,1,0,2,0,2,0
57176,/content/fashion_data/images/57176.jpg,Tops,Women,Cream,Summer,Casual,Elle Cream Printed T-shirt,Off White,Square Neck,Mini,Cotton,Abstract,Sleeveless,Casual,14,11,4,1,0,5,0,2,2
54953,/content/fashion_data/images/54953.jpg,Tshirts,Men,Grey,Summer,Casual,Do u speak green Men Printed Grey T-shirt,Grey,V-Neck,Mini,Cotton,Abstract,Short Sleeve,Casual,9,14,4,1,0,4,0,2,0
6020,/content/fashion_data/images/6020.jpg,Tshirts,Men,Red,Summer,Casual,UCB Men's Roundneck With Sail Racing Print Red T-shirt,Red,Scoop Neck,Mini,Polyester,Abstract,Short Sleeve,Casual,18,10,4,7,0,4,0,2,0
27663,/content/fashion_data/images/27663.jpg,Tshirts,Men,Red,Summer,Casual,Batman Men Red Printed T-shirt,Red,Crew Neck,Mini,Polyester,Abstract,Short Sleeve,Casual,18,3,4,7,0,4,0,2,0
13955,/content/fashion_data/images/13955.jpg,Tshirts,Men,White,Summer,Casual,United Colors of Benetton Men Printed White Tshirts,White,Crew Neck,Mini,Polyester,Abstract,Short Sleeve,Casual,22,3,4,7,0,4,0,2,0
52942,/content/fashion_data/images/52942.jpg,Sarees,Women,Pink,Summer,Ethnic,FNF Printed Pink Sari,Pink,High Neck,Floor-length,Cotton,Abstract,Short Sleeve,Festive/Religious,16,5,0,1,0,4,1,2,2
43629,/content/fashion_data/images/43629.jpg,Shirts,Women,Black,Summer,Casual,Vero Moda Women Black Shirt,Black,V-Neck,Mini,Linen,Solid,3/4 Sleeve,Casual,1,14,4,6,7,0,0,2,2
47033,/content/fashion_data/images/47033.jpg,Kurtas,Women,Black,Fall,Ethnic,Shree Women Black Kurta,Black,High Neck,Maxi,Silk,Solid,Short Sleeve,Festive/Religious,1,5,2,9,7,4,1,0,2
19054,/content/fashion_data/images/19054.jpg,Kurtas,Women,Green,Fall,Ethnic,Aurelia Women Printed Green Kurta,Green,Keyhole,Midi,Crepe,Abstract,3/4 Sleeve,Festive/Religious,8,6,3,2,0,0,1,0,2
7865,/content/fashion_data/images/7865.jpg,Tshirts,Men,Black,Fall,Casual,Proline Men Black Printed Polo T-shirt,Black,Crew Neck,Mini,Polyester,Abstract,Short Sleeve,Casual,1,3,4,7,0,4,0,0,0
14682,/content/fashion_data/images/14682.jpg,Tshirts,Men,Turquoise Blue,Fall,Casual,Basics Men Turquoise Blue Striped Polo T-shirt,Teal,V-Neck,Mini,Cotton,Striped,Short Sleeve,Casual,21,14,4,1,8,4,0,0,0
5137,/content/fashion_data/images/5137.jpg,Tops,Women,Red,Summer,Casual,Wrangler Women's Woodstock Red Top,Red,Halter,Mini,Silk,Solid,Short Sleeve,Casual,18,4,4,9,7,4,0,2,2
9836,/content/fashion_data/images/9836.jpg,Tshirts,Women,Purple,Fall,Casual,Little Miss Women Printed Purple T-shirt,Purple,Scoop Neck,Mini,Cotton,Abstract,Cap Sleeve,Casual,17,10,4,1,0,2,0,0,2
43257,/content/fashion_data/images/43257.jpg,Kurtas,Women,White,Summer,Ethnic,Aneri Women White Kurta,White,Collared,Knee-length,Silk,Solid,Short Sleeve,Festive/Religious,22,1,1,9,7,4,1,2,2
11537,/content/fashion_data/images/11537.jpg,Kurtas,Women,Blue,Summer,Ethnic,W Women Printed Blue Kurtas,Blue,High Neck,Knee-length,Crepe,Abstract,Long Sleeve,Festive/Religious,2,5,1,2,0,3,1,2,2
32441,/content/fashion_data/images/32441.jpg,Tshirts,Men,Navy Blue,Summer,Sports,ADIDAS Men Navy Blue Polo T-shirt,Navy Blue,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Sports,12,10,4,1,7,4,4,2,0
26950,/content/fashion_data/images/26950.jpg,Tshirts,Women,Maroon,Summer,Casual,Jealous 21 Women Printed Maroon T-shirt,Maroon,Scoop Neck,Mini,Cotton,Abstract,Short Sleeve,Casual,10,10,4,1,0,4,0,2,2
42218,/content/fashion_data/images/42218.jpg,Tops,Women,Blue,Summer,Casual,Sepia Women Blue Printed Top,Blue,Halter,Mini,Silk,Abstract,Sleeveless,Casual,2,4,4,9,0,5,0,2,2
19857,/content/fashion_data/images/19857.jpg,Jackets,Men,Navy Blue,Fall,Casual,U.S. Polo Assn. Men Reversible Navy Blue Jacket,Navy Blue,Collared,Mini,Wool,Solid,Long Sleeve,Casual,12,1,4,10,7,3,0,0,0
3485,/content/fashion_data/images/3485.jpg,Tshirts,Men,Black,Fall,Sports,ADIDAS Men's Polo Crome Black T-shirt,Black,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Sports,1,10,4,1,7,4,4,0,0
6549,/content/fashion_data/images/6549.jpg,Tshirts,Women,Green,Summer,Sports,Nike Women's Miler Yellow T-shirt,Green,V-Neck,Mini,Polyester,Solid,Cap Sleeve,Sports,8,14,4,7,7,2,4,2,2
6232,/content/fashion_data/images/6232.jpg,Tshirts,Women,Pink,Summer,Casual,UCB Women's Basic Round Pink T-shirt,Pink,V-Neck,Mini,Polyester,Solid,Cap Sleeve,Casual,16,14,4,7,7,2,0,2,2
27855,/content/fashion_data/images/27855.jpg,Shirts,Women,Navy Blue,Summer,Casual,Scullers For Her Check Navy Blue Shirt,Navy Blue,Collared,Knee-length,Linen,Plaid,Long Sleeve,Casual,12,1,1,6,5,3,0,2,2
34155,/content/fashion_data/images/34155.jpg,Tops,Women,Magenta,Summer,Casual,Gini and Jony Girls Pink Top,Pink,Scoop Neck,Mini,Chiffon,Solid,Sleeveless,Casual,16,10,4,0,7,5,0,2,2
20003,/content/fashion_data/images/20003.jpg,Tshirts,Men,White,Summer,Casual,United Colors of Benetton Men Printed White TShirt,White,Crew Neck,Mini,Polyester,Abstract,Cap Sleeve,Casual,22,3,4,7,0,2,0,2,0
34342,/content/fashion_data/images/34342.jpg,Tshirts,Men,Purple,Summer,Casual,Myntra Men Wasted Purple T-shirt,Purple,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Casual,17,10,4,1,7,4,0,2,0
24400,/content/fashion_data/images/24400.jpg,Kurtas,Women,Black,Summer,Ethnic,Vishudh Women Black Printed Kurta,Black,High Neck,Maxi,Linen,Abstract,3/4 Sleeve,Festive/Religious,1,5,2,6,0,0,1,2,2
39092,/content/fashion_data/images/39092.jpg,Shirts,Men,Red,Summer,Formal,Reid & Taylor Men Red Striped Shirt,Red,Collared,Mini,Cotton,Striped,Short Sleeve,Formal,18,1,4,1,8,4,2,2,0
24342,/content/fashion_data/images/24342.jpg,Tshirts,Men,Black,Fall,Sports,ADIDAS Men Black T-shirt,Black,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Sports,1,10,4,1,7,4,4,0,0
7546,/content/fashion_data/images/7546.jpg,Tshirts,Men,Pink,Summer,Sports,Nike Men's As Emb Sneaker T-Shirts,Pink,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Sports,16,10,4,1,7,4,4,2,0
36743,/content/fashion_data/images/36743.jpg,Tops,Women,Pink,Summer,Casual,Little Miss Girls Chatterbox Pink Top,Pink,V-Neck,Mini,Silk,Solid,Short Sleeve,Casual,16,14,4,9,7,4,0,2,2
58012,/content/fashion_data/images/58012.jpg,Tops,Women,Green,Fall,Casual,Latin Quarters Women Green Top,Green,V-Neck,Mini,Chiffon,Solid,Cap Sleeve,Casual,8,14,4,0,7,2,0,0,2
2974,/content/fashion_data/images/2974.jpg,Tshirts,Women,Green,Fall,Casual,Puma Women's Heroes Green T-shirt,Green,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Casual,8,10,4,1,7,4,0,0,2
57972,/content/fashion_data/images/57972.jpg,Sarees,Women,Multi,Fall,Ethnic,Prafful Women Multi Coloured Sari,Multi-color,V-Neck,Floor-length,Satin,Solid,Sleeveless,Festive/Religious,11,14,0,8,7,5,1,0,2
3318,/content/fashion_data/images/3318.jpg,Tshirts,Men,Yellow,Summer,Sports,CSK Mens Fangear Tee,Yellow,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Sports,23,10,4,1,7,4,4,2,0
12149,/content/fashion_data/images/12149.jpg,Kurtis,Women,Blue,Fall,Ethnic,Aurelia Women Printed Blue Kurtis,Blue,Keyhole,Midi,Cotton,Abstract,Short Sleeve,Festive/Religious,2,6,3,1,0,4,1,0,2
7952,/content/fashion_data/images/7952.jpg,Tshirts,Men,Black,Fall,Sports,Puma Men's Knit Polo Black  Polo T-shirt,Black,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Sports,1,10,4,1,7,4,4,0,0
14039,/content/fashion_data/images/14039.jpg,Shirts,Men,Green,Winter,Casual,Flying Machine Men Check Green Shirts,Green,Collared,Mini,Cotton,Plaid,Long Sleeve,Casual,8,1,4,1,5,3,0,3,0
52484,/content/fashion_data/images/52484.jpg,Camisoles,Women,White,Summer,Casual,Red Rose White Camisole,White,Scoop Neck,Midi,Cotton,Solid,Long Sleeve,Casual,22,10,3,1,7,3,0,2,2
59985,/content/fashion_data/images/59985.jpg,Dresses,Women,Green,Fall,Casual,Avirate Women Green Dress,Green,Square Neck,Midi,Satin,Solid,Long Sleeve,Casual,8,11,3,8,7,3,0,0,2
16817,/content/fashion_data/images/16817.jpg,Shirts,Men,Blue,Fall,Casual,Locomotive Men Check Blue Shirt,Blue,V-Neck,Mini,Linen,Plaid,Short Sleeve,Casual,2,14,4,6,5,4,0,0,0
42216,/content/fashion_data/images/42216.jpg,Dresses,Women,Black,Fall,Casual,Sepia Women Black Dress,Black,Square Neck,Maxi,Silk,Solid,3/4 Sleeve,Casual,1,11,2,9,7,0,0,0,2
1942,/content/fashion_data/images/1942.jpg,Tshirts,Men,White,Fall,Casual,Puma Mens Reggae All Night White T-shirt,White,Crew Neck,Mini,Polyester,Solid,Short Sleeve,Casual,22,3,4,7,7,4,0,0,0
12500,/content/fashion_data/images/12500.jpg,Shirts,Men,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts,Black,Collared,Mini,Linen,Solid,Long Sleeve,Casual,1,1,4,6,7,3,0,0,0
24611,/content/fashion_data/images/24611.jpg,Tshirts,Men,Brown,Fall,Casual,Solognac Men Brown T-shirt,Brown,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Casual,3,10,4,1,7,4,0,0,0
7130,/content/fashion_data/images/7130.jpg,Tshirts,Men,White,Fall,Casual,Urban Yoga Men's White T-shirt,White,Scoop Neck,Mini,Cotton,Solid,Short Sleeve,Casual,22,10,4,1,7,4,0,0,0
22598,/content/fashion_data/images/22598.jpg,Tshirts,Women,Purple,Fall,Sports,Nike Women Purple T-shirt,Purple,Crew Neck,Mini,Cotton,Solid,Short Sleeve,Sports,17,3,4,1,7,4,4,0,2
26121,/content/fashion_data/images/26121.jpg,Shirts,Men,Blue,Summer,Formal,John Miller Men Check Blue Shirt,Blue,Collared,Mini,Polyester,Plaid,Long Sleeve,Formal,2,1,4,7,5,3,2,2,0
19592,/content/fashion_data/images/19592.jpg,Tops,Women,Pink,Fall,Casual,United Colors of Benetton Women Printed Pink Top,Pink,Scoop Neck,Mini,Polyester,Abstract,Cap Sleeve,Casual,16,10,4,7,0,2,0,0,2
18276,/content/fashion_data/images/18276.jpg,Kurtas,Women,White,Fall,Ethnic,Aneri Women Tanvi White Kurta,White,Keyhole,Knee-length,Linen,Solid,3/4 Sleeve,Festive/Religious,22,6,1,6,7,0,1,0,2
58675,/content/fashion_data/images/58675.jpg,Kurtas,Women,Multi,Summer,Ethnic,ALayna Women Multi Coloured Kurta,Multi-color,High Neck,Knee-length,Silk,Solid,3/4 Sleeve,Festive/Religious,11,5,1,9,7,0,1,2,2
6202,/content/fashion_data/images/6202.jpg,Tshirts,Women,Beige,Summer,Casual,UCB Women's Photo Prints White T-shirt,Beige,Scoop Neck,Mini,Cotton,Abstract,Cap Sleeve,Casual,0,10,4,1,0,2,0,2,2
40398,/content/fashion_data/images/40398.jpg,Tops,Women,Green,Summer,Casual,Tonga Women Green Printed Top,Green,Halter,Mini,Polyester,Abstract,3/4 Sleeve,Casual,8,4,4,7,0,0,0,2,2
