id,image_path,category,gender,baseColour,season,usage,productDisplayName,category_encoded,gender_encoded,mapped_color,color_encoded,season_encoded,mapped_usage,usage_encoded
56672,/content/fashion_data/images/56672.jpg,Watches,Men,White,Winter,Casual,Maxima Men White Dial Chronograph Watch,11,0,White,23,3,Casual,0
2359,/content/fashion_data/images/2359.jpg,Hats & Headwear,Men,Navy Blue,Winter,Sports,ADIDAS Navy Blue Men Cap,5,0,Navy Blue,13,3,Sports,4
39362,/content/fashion_data/images/39362.jpg,Watches,Men,Black,Winter,Casual,Helix Men Black Watch,11,0,Black,1,3,Casual,0
49244,/content/fashion_data/images/49244.jpg,Hats & Headwear,Men,Black,Fall,Casual,Arrow Men Black Cap,5,0,Black,1,0,Casual,0
20537,/content/fashion_data/images/20537.jpg,Belts,Women,Green,Winter,Casual,Baggit Women Flora Astro Green Belt,0,2,Green,8,3,Casual,0
34808,/content/fashion_data/images/34808.jpg,Belts,Men,Black,Summer,Casual,Flying Machine Men Black Belt,0,0,Black,1,2,Casual,0
25164,/content/fashion_data/images/25164.jpg,Handbags & Clutches,Women,Black,Winter,Casual,Lino Perros Women Leatherette Black Handbag,4,2,Black,1,3,Casual,0
29432,/content/fashion_data/images/29432.jpg,Watches,Men,Black,Winter,Casual,Giordano Men Black Dial Watch,11,0,Black,1,3,Casual,0
14896,/content/fashion_data/images/14896.jpg,Handbags & Clutches,Women,Black,Summer,Casual,United Colors of Benetton Women Solid Black Handbags,4,2,Black,1,2,Casual,0
58189,/content/fashion_data/images/58189.jpg,Handbags & Clutches,Women,Grey,Summer,Casual,Rocky S Women Grey Handbag,4,2,Grey,9,2,Casual,0
34626,/content/fashion_data/images/34626.jpg,Watches,Women,Silver,Winter,Casual,Kenneth Cole Women Silver Dial Watch,11,2,Silver,20,3,Casual,0
21778,/content/fashion_data/images/21778.jpg,Belts,Men,Brown,Fall,Casual,Fossil Men Maxim Brown Belt,0,0,Brown,3,0,Casual,0
20511,/content/fashion_data/images/20511.jpg,Handbags & Clutches,Women,Black,Winter,Casual,Baggit Women Roxy Net Black Handbag,4,2,Black,1,3,Casual,0
25185,/content/fashion_data/images/25185.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Lino Perros Women Brown Handbag,4,2,Brown,3,3,Casual,0
34262,/content/fashion_data/images/34262.jpg,Scarves & Shawls,Women,Green,Summer,Ethnic,Fabindia Women Green Chanderi Dupatta,8,2,Green,8,2,Festive/Religious,1
58266,/content/fashion_data/images/58266.jpg,Handbags & Clutches,Women,Silver,Spring,Casual,Baggit Women Grey Handbag,4,2,Silver,20,1,Casual,0
29940,/content/fashion_data/images/29940.jpg,Watches,Men,Grey,Winter,Casual,Police Men Grey Dial Watch PL12963JS-61,11,0,Grey,9,3,Casual,0
58840,/content/fashion_data/images/58840.jpg,Cufflinks,Men,Yellow,Summer,Casual,Hakashi Men Yellow Cufflinks,2,0,Yellow,24,2,Casual,0
49693,/content/fashion_data/images/49693.jpg,Ties & Bowties,Men,Maroon,Summer,Casual,Park Avenue Men Maroon Tie,10,0,Maroon,10,2,Casual,0
28384,/content/fashion_data/images/28384.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Idee Men Black Sunglasses,9,0,Black,1,3,Casual,0
28181,/content/fashion_data/images/28181.jpg,Sunglasses & Eyewear,Men,Black,Winter,Casual,Ray-Ban Men Aviator Sunglasses,9,0,Black,1,3,Casual,0
25170,/content/fashion_data/images/25170.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Lino Perros Women Leatherette Dark Brown Handbag,4,2,Brown,3,3,Casual,0
31864,/content/fashion_data/images/31864.jpg,Watches,Women,Silver,Winter,Casual,Titan Women Raga Silver Dial Watch,11,2,Silver,20,3,Casual,0
40163,/content/fashion_data/images/40163.jpg,Sunglasses & Eyewear,Men,Silver,Winter,Casual,Fastrack Men UV Protected Sporty Wrap Sunglasses,9,0,Silver,20,3,Casual,0
10736,/content/fashion_data/images/10736.jpg,Handbags & Clutches,Women,Red,Winter,Casual,Murcia Women Mcc Red Red Handbags,4,2,Red,19,3,Casual,0
49802,/content/fashion_data/images/49802.jpg,Hats & Headwear,Men,Black,Winter,Casual,Flying Machine Men Black Cap,5,0,Black,1,3,Casual,0
22000,/content/fashion_data/images/22000.jpg,Handbags & Clutches,Women,Grey,Winter,Casual,Murcia Women Casual Grey Handbag,4,2,Grey,9,3,Casual,0
59566,/content/fashion_data/images/59566.jpg,Cufflinks,Men,Steel,Summer,Casual,Revv Men Black Cufflinks,2,0,Metallic,11,2,Casual,0
51669,/content/fashion_data/images/51669.jpg,Sunglasses & Eyewear,Men,Silver,Winter,Casual,Louis Philippe Men Grey Sunglasses,9,0,Silver,20,3,Casual,0
52841,/content/fashion_data/images/52841.jpg,Earrings,Women,Green,Summer,Casual,Adrika Green Earrings,3,2,Green,8,2,Casual,0
42844,/content/fashion_data/images/42844.jpg,Handbags & Clutches,Women,Black,Summer,Casual,French Connection Women Black Handbag,4,2,Black,1,2,Casual,0
11131,/content/fashion_data/images/11131.jpg,Watches,Men,Black,Winter,Sports,Puma Men Beat Black Watches,11,0,Black,1,3,Sports,4
22606,/content/fashion_data/images/22606.jpg,Hats & Headwear,Unisex,White,Fall,Sports,Nike Unisex Active White Cap,5,1,White,23,0,Sports,4
30089,/content/fashion_data/images/30089.jpg,Watches,Men,Black,Winter,Casual,Ed Hardy Men Black Dial Watch,11,0,Black,1,3,Casual,0
4716,/content/fashion_data/images/4716.jpg,Watches,Unisex,Black,Winter,Sports,ADIDAS Unisex Response ST Analogue Black Watch,11,1,Black,1,3,Sports,4
51267,/content/fashion_data/images/51267.jpg,Belts,Men,Brown,Summer,Casual,Parx Men Brown Belt,0,0,Brown,3,2,Casual,0
35077,/content/fashion_data/images/35077.jpg,Belts,Men,Peach,Summer,Casual,Allen Solly Men Canvas Peach Belt,0,0,Nude,14,2,Casual,0
59221,/content/fashion_data/images/59221.jpg,Watches,Women,Gold,Winter,Casual,Titan Women Gold Watch,11,2,Gold,7,3,Casual,0
49715,/content/fashion_data/images/49715.jpg,Ties & Bowties,Men,Black,Summer,Casual,Park Avenue Men Black Tie,10,0,Black,1,2,Casual,0
30070,/content/fashion_data/images/30070.jpg,Watches,Men,Steel,Winter,Casual,Ed Hardy Men Silver Dial Watch,11,0,Metallic,11,3,Casual,0
8137,/content/fashion_data/images/8137.jpg,Watches,Women,White,Winter,Casual,Fastrack Women Upgrades Analog White Black Watch,11,2,White,23,3,Casual,0
48805,/content/fashion_data/images/48805.jpg,Necklaces & Chains,Women,Silver,Summer,Casual,Lucera Women Silver Pendant,6,2,Silver,20,2,Casual,0
42936,/content/fashion_data/images/42936.jpg,Handbags & Clutches,Men,Khaki,Summer,Casual,French Connection Men Khaki Handbag,4,0,Tan,21,2,Casual,0
52659,/content/fashion_data/images/52659.jpg,Handbags & Clutches,Women,Cream,Summer,Casual,Mod'acc Women Blue & Cream Handbag,4,2,Off White,15,2,Casual,0
54662,/content/fashion_data/images/54662.jpg,Watches,Men,Steel,Winter,Casual,Fastrack Men Black Dial  Watch,11,0,Metallic,11,3,Casual,0
54674,/content/fashion_data/images/54674.jpg,Watches,Women,Blue,Winter,Casual,Fastrack Women Sliver Dial Watch,11,2,Blue,2,3,Casual,0
30048,/content/fashion_data/images/30048.jpg,Watches,Women,White,Winter,Casual,SKAGEN DENMARK Women White Dial Watch 589SSS,11,2,White,23,3,Casual,0
20604,/content/fashion_data/images/20604.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Baggit Women Umbrella Dum Brown Handbag,4,2,Brown,3,3,Casual,0
21985,/content/fashion_data/images/21985.jpg,Handbags & Clutches,Women,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,4,2,Brown,3,3,Casual,0
49001,/content/fashion_data/images/49001.jpg,Rings,Women,Silver,Summer,Casual,Lucera Women Silver Ring,7,2,Silver,20,2,Casual,0
58264,/content/fashion_data/images/58264.jpg,Handbags & Clutches,Women,Beige,Summer,Casual,Baggit Women Beige Handbag,4,2,Beige,0,2,Casual,0
56332,/content/fashion_data/images/56332.jpg,Watches,Women,Silver,Winter,Casual,Fastrack Women Silver Dial Watch,11,2,Silver,20,3,Casual,0
28390,/content/fashion_data/images/28390.jpg,Sunglasses & Eyewear,Men,Brown,Winter,Casual,Idee Men Brown Sunglasses,9,0,Brown,3,3,Casual,0
14975,/content/fashion_data/images/14975.jpg,Belts,Men,Black,Fall,Formal,New Hide Men Solid Black Belts,0,0,Black,1,0,Formal,2
37294,/content/fashion_data/images/37294.jpg,Watches,Men,Silver,Winter,Casual,CASIO Enticer Men White Dial Analogue Watch A485,11,0,Silver,20,3,Casual,0
20930,/content/fashion_data/images/20930.jpg,Handbags & Clutches,Women,Red,Winter,Casual,Fastrack Women Red Sling Bag,4,2,Red,19,3,Casual,0
45258,/content/fashion_data/images/45258.jpg,Watches,Men,Black,Winter,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,11,0,Black,1,3,Casual,0
51540,/content/fashion_data/images/51540.jpg,Watches,Women,Brown,Winter,Casual,Fastrack Women Brown Watch,11,2,Brown,3,3,Casual,0
27829,/content/fashion_data/images/27829.jpg,Belts,Men,Brown,Summer,Casual,Bulchee Men Brown Belt,0,0,Brown,3,2,Casual,0
42866,/content/fashion_data/images/42866.jpg,Handbags & Clutches,Women,Black,Summer,Casual,French Connection Women Black Clutches,4,2,Black,1,2,Casual,0
20879,/content/fashion_data/images/20879.jpg,Sunglasses & Eyewear,Women,Purple,Winter,Casual,United Colors of Benetton Women Casual Sunglasses,9,2,Purple,18,3,Casual,0
30082,/content/fashion_data/images/30082.jpg,Watches,Men,White,Winter,Casual,Ed Hardy Men Silver Dial Watch,11,0,White,23,3,Casual,0
45939,/content/fashion_data/images/45939.jpg,Watches,Men,White,Winter,Casual,Maxima Men White Dial Watch,11,0,White,23,3,Casual,0
38178,/content/fashion_data/images/38178.jpg,Sunglasses & Eyewear,Women,Black,Winter,Casual,Miami Blues Women Sunglasses,9,2,Black,1,3,Casual,0
43156,/content/fashion_data/images/43156.jpg,Watches,Women,Silver,Winter,Casual,Fastrack Women Silver Dial Watch,11,2,Silver,20,3,Casual,0
48646,/content/fashion_data/images/48646.jpg,Earrings,Women,Silver,Summer,Casual,Lucera Women Silver Earrings,3,2,Silver,20,2,Casual,0
21295,/content/fashion_data/images/21295.jpg,Sunglasses & Eyewear,Women,Metallic,Winter,Casual,Celine Dion Women Metalic Frame Sunglasses,9,2,Metallic,11,3,Casual,0
29866,/content/fashion_data/images/29866.jpg,Sunglasses & Eyewear,Men,Grey,Winter,Casual,Mayhem Men Aviator Sunglasses 1024-205I,9,0,Grey,9,3,Casual,0
42907,/content/fashion_data/images/42907.jpg,Belts,Women,Cream,Summer,Casual,French Connection Women Cream & Black Belt,0,2,Off White,15,2,Casual,0
10609,/content/fashion_data/images/10609.jpg,Watches,Women,White,Winter,Casual,Puma Women White Dial Chronograph Watch,11,2,White,23,3,Casual,0
